intent,subintent,sentence
agent,acquaintance,hell
agent,acquaintance,personality
agent,acquaintance,want
agent,acquaintance,stuff
agent,acquaintance,know
agent,acquaintance,better
agent,acquaintance,describe
agent,acquaintance,talk
agent,acquaintance,tell
agent,acquaintance,define
agent,acquaintance,upto
agent,acquaintance,introduce
agent,age,age
agent,age,turning
agent,age,aged
agent,age,old
agent,age,like
agent,age,know
agent,age,long
agent,age,live
agent,age,turn
agent,age,look
agent,age,tell
agent,age,platform
agent,age,wanna
agent,age,today
agent,annoying,irritating
agent,annoying,incredibly
agent,annoying,annoying
agent,annoying,starting
agent,annoying,annoying!
agent,annoying,annoy
agent,annoying,find
agent,answer_my_question,want
agent,answer_my_question,answering
agent,answer_my_question,question
agent,answer_my_question,answer
agent,answer_my_question,answers
agent,answer_my_question,tell
agent,answer_my_question,questions
agent,bad,stupid
agent,bad,good
agent,bad,time
agent,bad,cool
agent,bad,loser
agent,bad,disgusting
agent,bad,horrible
agent,bad,worthless
agent,bad,helping
agent,bad,worst
agent,bad,lame
agent,bad,mindless
agent,bad,awful
agent,bad,waste
agent,bad,useless
agent,bad,bot
agent,bad,suck
agent,bad,seriously
agent,bad,totally
agent,bad,bad
agent,bad,terrible
agent,be_clever,improve
agent,be_clever,think
agent,be_clever,thought
agent,be_clever,smarter
agent,be_clever,useful
agent,be_clever,trained
agent,be_clever,smarty
agent,be_clever,clever
agent,be_clever,brains
agent,be_clever,smart
agent,be_clever,study
agent,be_clever,lot
agent,be_clever,use
agent,be_clever,qualified
agent,be_clever,learn
agent,be_clever,box
agent,be_clever,better
agent,be_clever,pants
agent,be_clever,need
agent,beautiful,cutie
agent,beautiful,good
agent,beautiful,like
agent,beautiful,way
agent,beautiful,think
agent,beautiful,awesome
agent,beautiful,perfect
agent,beautiful,cool
agent,beautiful,cute
agent,beautiful,beautiful
agent,beautiful,attractive
agent,beautiful,great
agent,beautiful,wonderful
agent,beautiful,handsome
agent,beautiful,gorgeous
agent,beautiful,look
agent,beautiful,looking
agent,beautiful,amazing
agent,beautiful,pretty
agent,beautiful,today
agent,beautiful,fantastic
agent,birth_date,born
agent,birth_date,day
agent,birth_date,want
agent,birth_date,know
agent,birth_date,birthday
agent,birth_date,birth
agent,birth_date,dob
agent,birth_date,tell
agent,birth_date,date
agent,birth_date,celebrate
agent,boring,im
agent,boring,boring
agent,boring,extremely
agent,boring,speech
agent,boring,look
agent,boring,answers
agent,boring,man
agent,boring,incredibly
agent,boring,bored
agent,boring,interesting
agent,boring,terribly
agent,boring,find
agent,boss,work
agent,boss,boss
agent,boss,developed
agent,boss,developer
agent,boss,think
agent,boss,trained
agent,boss,know
agent,boss,creator
agent,boss,master
agent,boss,company
agent,boss,owner
agent,boss,owns
agent,boss,trainer
agent,busy,busy
agent,busy,things
agent,busy,aren
agent,busy,lot
agent,busy,got
agent,busy,look
agent,busy,right
agent,busy,ll
agent,busy,working
agent,busy,today
agent,busy,person
agent,can_you_help,info
agent,can_you_help,giving
agent,can_you_help,answer
agent,can_you_help,details
agent,can_you_help,provide
agent,can_you_help,right
agent,can_you_help,help
agent,can_you_help,assist
agent,can_you_help,want
agent,can_you_help,fetch
agent,can_you_help,going
agent,can_you_help,ready
agent,can_you_help,gonna
agent,can_you_help,assistance
agent,can_you_help,sos
agent,can_you_help,getting
agent,can_you_help,mind
agent,can_you_help,hand
agent,can_you_help,information
agent,can_you_help,know
agent,can_you_help,question
agent,can_you_help,favor
agent,can_you_help,problem
agent,can_you_help,need
agent,chatbot,chatbot
agent,chatbot,conversational
agent,chatbot,artificially
agent,chatbot,intelligent
agent,chatbot,ai
agent,chatbot,bot
agent,chatbot,robot
agent,chatbot,program
agent,clever,cookie
agent,clever,know
agent,clever,things
agent,clever,lot
agent,clever,intelligent
agent,clever,knowledge
agent,clever,clever
agent,clever,brainy
agent,clever,pretty
agent,clever,brilliant
agent,clever,qualified
agent,clever,genius
agent,clever,smart
agent,crazy,crazy
agent,crazy,mind
agent,crazy,ve
agent,crazy,mad
agent,crazy,weirdo
agent,crazy,think
agent,crazy,like
agent,crazy,got
agent,crazy,went
agent,crazy,nuts
agent,fired,work
agent,fired,hell
agent,fired,fired
agent,fired,stupid
agent,fired,want
agent,fired,don
agent,fired,time
agent,fired,firing
agent,fired,fire
agent,fired,dismissed
agent,fired,anymore
agent,fired,unemployed
agent,fired,going
agent,fired,working
agent,funny,ve
agent,funny,sound
agent,funny,funny
agent,funny,feel
agent,funny,lot
agent,funny,laugh
agent,funny,incredibly
agent,funny,hilarious
agent,funny,talked
agent,funny,pretty
agent,funny,bot
agent,funny,funniest
agent,good,work
agent,good,world
agent,good,sound
agent,good,good
agent,good,like
agent,good,super
agent,good,awesome
agent,good,perfect
agent,good,tell
agent,good,cool
agent,good,true
agent,good,best
