intent,subintent,sentence
agent,annoying,you are annoying me so much
agent,annoying,you're incredibly annoying
agent,annoying,I find you annoying
agent,annoying,you are annoying
agent,annoying,you're so annoying
agent,annoying,how annoying you are
agent,annoying,you annoy me
agent,annoying,you are annoying me
agent,annoying,you are irritating
agent,annoying,you are such annoying
agent,annoying,you're too annoying
agent,annoying,you are very annoying
agent,annoying,Why are you annoying me so much
agent,annoying,How annoying!
agent,annoying,It's annoying
agent,annoying,That's annoying
agent,annoying,It's just annoying
agent,annoying,That's so annoying
agent,annoying,You really annoy me
agent,annoying,You're starting to annoy me
agent,age,tell me your age
agent,age,what's your age?
agent,age,your age
agent,age,age of yours
agent,age,how old were you
agent,age,I'd like to know your age
agent,age,how old is your platform
agent,age,how old are you?
agent,age,tell me how old you are
agent,age,how can i know about your age
agent,age,i wanna know your age
agent,age,how long have you been live?
agent,age,what is your age as of today?
agent,age,How old did you turn?
agent,age,How old are you now?
agent,age,what is your age?
agent,age,How old will you be turning?
agent,age,how old r u?
agent,age,From how long you have been here?
agent,age,You look aged
agent,answer_my_question,I want you to answer me
agent,answer_my_question,answer
agent,answer_my_question,answer my question
agent,answer_my_question,answer me
agent,answer_my_question,give me an answer
agent,answer_my_question,answer the question
agent,answer_my_question,can you answer my question
agent,answer_my_question,tell me the answer
agent,answer_my_question,answer it
agent,answer_my_question,give me the answer
agent,answer_my_question,I have a question
agent,answer_my_question,I want you to answer my question
agent,answer_my_question,just answer the question
agent,answer_my_question,can you answer me
agent,answer_my_question,answers
agent,answer_my_question,can you answer a question for me
agent,answer_my_question,can you answer
agent,answer_my_question,answering questions
agent,answer_my_question,I want the answer now
agent,answer_my_question,just answer my question
agent,bad,you're not helping me
agent,bad,you are bad
agent,bad,you're very bad
agent,bad,you're really bad
agent,bad,you are useless
agent,bad,you are horrible
agent,bad,you are a waste of time
agent,bad,you are disgusting
agent,bad,you are lame
agent,bad,you are no good
agent,bad,you're bad
agent,bad,you're awful
agent,bad,you are not cool
agent,bad,you are not good
agent,bad,you are so bad
agent,bad,you are so useless
agent,bad,you are terrible
agent,bad,you are totally useless
agent,bad,you are very bad
agent,bad,you are waste
agent,bad,you're a bad
agent,bad,you're not a good
agent,bad,you're not very good
agent,bad,you're terrible
agent,bad,you're the worst
agent,bad,you're the worst ever
agent,bad,you're worthless
agent,bad,you suck
